,Neighborhood,Latitude,Longitude
0,Yuqiao,39.8988199,116.6708138
1,Shigezhuang,39.9319432,116.5576797
2,Beitaipingzhuang,39.9736395,116.3638444
3,Yongdingmenwai,39.8667943,116.392354534124
4,Jinding Avenue,39.9349767,116.3890064
5,Guangming,39.883203,116.4381927
6,Xinhua,39.9063193,116.379708174536
7,Xincun,39.87639205,116.616602798726
8,Andingmen,39.94822815,116.401322017236
9,Xiluoyuan,39.8545374,116.379580660933
10,Jingshan,39.92429445,116.390466887949
11,Binhe,39.7670332,116.318778962457
13,Chaowai,39.9255761,116.436194
14,Sanlitun,39.9361049,116.4488126
15,Chengguan,39.9981954,116.2748075
16,Dongsi,39.9290538,116.4149965
17,Fengtai,39.8571176,116.2804172
18,Xueyuan Road,39.9811552,116.3475152
19,Xisanqi,40.056784,116.3171401
20,Zuojiazhuang,39.9534253,116.4334455
21,Shichahai,39.9359528,116.3900647
22,Taoranting,39.8774533,116.3680928
23,Guoyuan,39.8487896,116.3976058
26,Haidian,39.9580718,116.292405
28,Longshan,40.31206295,116.619931328655
30,Shuangjing,39.8920933,116.4552314
31,Huayuan Road,39.9691776,116.3594087
32,Taipingqiao,39.9171914,116.3585229
33,Malianwa,40.0315401,116.2658838
34,Beixinqiao,39.9393835,116.4108701
37,Xiaoguan,39.9141622,116.4105446
38,Qinghe,40.0399526,116.3089629
40,Xingfeng,39.7440726,116.3331755
41,Datun,40.5617365,117.0421811
42,Nanyuan,39.7933065,116.3732966
43,Tiancun Road,39.930052,116.2395941
44,Dayu,40.3974221,117.0482008
45,Anzhen,39.9683798,116.400384324619
46,Dongzhimen,39.94156575,116.428566320522
47,Niujie,39.88437225,116.358414187553
50,Bajiao,39.9154877,116.2008458
53,Shiyuan,39.8439601,116.6903799
54,Dongfeng,39.9450024,116.4937566
56,Tiantan,39.87986825,116.40294984511
57,Donghuashi,39.8962061,116.4277028
58,Qingyuan,39.73417565,116.297864386902
59,Yuetan,39.9126362,116.3372956
61,Xiangheyuan,39.952672,116.4419518
62,Liulitun,39.9269016,116.480437
64,Heping Avenue,39.3300928,115.8186139
65,Pingguoyuan,39.9248412,116.1719439
66,Lugouqiao,39.8636968,116.3030676
67,Tiangongyuan,39.6687841,116.3138995
68,Shuguang,39.9672013,116.4471697
69,Huoying,40.070441,116.3539423
70,Fatou,39.859574,116.5057156
72,Xiangshan,39.9929148,116.1979479
73,You'anmen,39.8613687,116.359426907358
74,Linxiao Road,39.7121979,116.3278513
76,Financial Street,39.9160815,116.3531159
77,Tiantongyuannan,40.0651231,116.4065063
78,Lugu,39.9006727,116.2051255
79,Jiaodaokou,39.9342715,116.402493
81,Qianmen,39.8987591,116.3916409
82,Tuanjiehu,39.9322013,116.4556066
83,Donghuamen,39.913812,116.395197583658
84,Qinghuayuan,39.9811384,116.3331629
85,Wanshou Road,39.9116662,116.2890817
87,Jianwai,39.9036319,116.447742967219
88,Wangjing,39.9918632,116.4600088
89,Shangdi,40.0317646,116.3140843
90,Zizhuyuan,39.9411297,116.312316859038
91,Chengnan,40.29903035,116.637321425681
92,Zhanlan Road,39.9208534,116.3385615
93,Longtan,40.2632549,116.075636
94,Xinjiekou,39.9394726,116.3613576
96,Yayuncun,39.9924549,116.4003691
97,Maizidian,39.9498952,116.4622474
98,Dahongmen,39.8440129,116.3922626
99,Gucheng,39.9061423,116.1844475
100,Majiapu,39.8516387,116.365093
101,Chaoyangmen,39.9249974,116.428879
102,Huilongguan,40.0694808,116.3298907
103,Chengzi,40.5801055,117.1289452
104,Ganjiakou,39.9216791,116.3288857
105,Guang'anmennei,39.8885681,116.351727
106,Xilu,39.9183243,116.4633936
108,Guang'anmenwai,39.8886979,116.3224337
109,Xingcheng,39.7122328,116.0551355
110,Yangfangdian,39.8960467,116.314986
111,Panjiayuan,40.330303,116.6283762
112,Babaoshan,39.9062353,116.2296298
113,Laoshan,39.91277695,116.207390351608
114,Balizhuang,39.9229425,116.2917298
115,Changxindian,39.8361823,116.2029594
116,Jiuxianqiao,39.9670762,116.4836705
118,Jianguomen,39.9071023,116.4287228
119,Hepingli,39.9484891,116.419087
120,Gulou,40.3670877,116.8346485
123,Hujialou,39.9219807,116.4557482
124,Yongding Road,39.8987846,116.2586986
125,Tianqiao,39.8812136,116.3922937
126,Datai,39.9649841,115.9358668
128,Heyi,39.813652,116.3959362
129,Xiangyang,39.9614152,115.9193444
130,Zhongguancun,39.9826335,116.3104743
134,Xiangshuiyuan,40.46520345,115.987434900469
137,Guanyinsi,39.72518865,116.342683375845
138,Dashilan,39.8944985,116.390172
139,Beiyuan,40.0416443,116.4283151
140,Tiyuguan Road,39.8826951,116.420461
