,Neighborhood,Latitude,Longitude
0,Ostend,50.1159353,8.72054636793775
1,Gallus,50.10365845,8.63670648468984
2,Schwanheim,50.0829548,8.57867983191661
3,Harheim,50.18558935,8.69044546018167
4,Bahnhofsviertel,50.10774145,8.66873601221096
5,Fechenheim,50.12561975,8.75764981003691
6,Mainhattan,50.1106444,8.6820917
7,Sachsenhausen,50.1002618,8.6835988
8,Riederwald,50.1263722,8.73392440477122
9,Ginnheim,50.14506905,8.64915293192666
10,Bergen-Enkheim,50.1576717,8.76255510785864
11,Eckenheim,50.15156345,8.68237112573952
12,Griesheim,50.1019699,8.59995959799628
13,Dornbusch,50.14717045,8.66972868973255
14,Rödelheim,50.12754395,8.60627805861801
15,Kalbach-Riedberg,50.17340885,8.6419484994945
16,Sossenheim,50.1210866,8.57331436636195
17,Innenstadt,50.11287765,8.67492196213115
18,Bonames,50.18235405,8.66409650339045
19,Flughafen,50.04303025,8.567283919206
20,Hausen,50.13470325,8.62750717118274
21,Nieder-Eschbach,50.2013339,8.66714625072703
22,Berkersheim,50.1711657,8.70119132512906
23,Höchst,50.0976871,8.53844921885897
24,Gutleutviertel,50.0978128,8.65076020625548
25,Unterliederbach,50.1096205,8.52286237955801
26,Niederursel,50.16898715,8.62234834505413
27,Praunheim,50.1471948,8.61673665290379
28,Altstadt,50.11104545,8.68293572698541
29,Westend,50.118164,8.6625889
30,Nied,50.1025967,8.57050189934911
31,Frankfurter Berg,50.17066305,8.67565802894848
32,Seckbach,50.1434285,8.7258861
33,Zeilsheim,50.09750985,8.4960465922122
34,Oberrad,50.0987908,8.72740333345432
35,Europaviertel,50.1083286,8.6346455
36,Bankenviertel,50.110589,8.672952
37,Nordend,50.1249136,8.67795
38,Niederrad,50.08647665,8.63952576210809
39,Eschersheim,50.1612049,8.66261247862046
40,Bockenheim,50.12236065,8.63753199693013
41,Bornheim,50.13305575,8.71493241229322
42,Preungesheim,50.1534246,8.69908389304919
43,Sindlingen,50.0775892,8.51172312566463
44,Nieder-Erlenbach,50.2087835,8.70679992202406
45,Heddernheim,50.15820405,8.64150708079413
