,Neighborhood,Latitude,Longitude
0,Barking and Dagenham ,51.5541171,0.150504342619943
1,Barnet,51.6487843,-0.1729127
2,Bexley,51.4416793,0.150488
3,Brent,51.5847777,-0.2991803
4,Bromley,51.4028046,0.0148142
5,Camden,51.5423045,-0.1395604
6,Croydon,51.3713049,-0.101957
7,Ealing,51.5126553,-0.3051952
8,Enfield,51.6520851,-0.0810175
9,Greenwich ,51.4820845,-0.0045417
10,Hackney,51.5432402,-0.0493621
11,Hammersmith and Fulham ,51.4920377,-0.2236401
12,Haringey,51.58792985,-0.10541010599099
13,Harrow,51.5967688,-0.33727515543507
14,Havering,51.5443687,-0.144303179891979
15,Hillingdon,51.5425193,-0.448334931179497
16,Hounslow,51.4686132,-0.3613471
17,Islington,51.5384287,-0.0999051
18,Kensington and Chelsea,51.4989948,-0.1991229
19,Kingston upon Thames,51.4096275,-0.3062621
20,Lambeth,51.5013012,-0.117287
21,Lewisham,51.4624325,-0.0101331
22,Merton,51.41080285,-0.188098505955727
23,Newham,51.52999955,0.0293179602938221
24,Redbridge,51.5763203,0.0454097
25,Richmond upon Thames,51.44035365,-0.308151177673228
26,Southwark,51.5029222,-0.103458
27,Sutton,51.3575114,-0.173640122600872
28,Tower Hamlets,51.49595675,-0.011744492532098
29,Waltham Forest,51.5569991,-0.0058352
30,Wandsworth,51.4570271,-0.1932607
31,Westminster,51.5013562,-0.1249302
