,Neighborhood,Latitude,Longitude
0,Jiāngnínglù,,
1,Zhōujiāqiáo,,
2,Huìnán Zhèn,31.056003,121.7573174
3,Tángzhèn,31.2103603,121.6510427
4,Xiàyáng,31.1501939,121.120585
5,Xīnhuálù,31.2073636,121.4172092
6,Huácáo Zhèn,31.2260988,121.3222602
7,Xiétǔlù,,
8,Nánqiáo Zhèn,30.8980114,121.4572604
9,Lángxià Zhèn,30.7928984,121.1882438
10,Chángqiáo,31.1381066,121.4370369
11,Lónghuá,31.176651,121.4481765
12,Chángbái Xīncūn,,
13,Péngpǔ Zhèn,31.3074944,121.4439361
14,Qūyánglù,,
15,Wànlǐ,,
16,Sānlín Zhèn,31.1453958,121.507929
17,Dōngmínglù,,
18,Nánjīng Xīlù,,
19,Běizhàn,31.474006,121.8338163
20,Zhuāngháng Zhèn,30.9036745,121.3926871
21,Hóngqiáo,31.197736,121.334565736039
22,Shànghǎi Sōngjiāng Chūkǒu Jiāgōngqū,,
23,Xīnchǎng Zhèn,31.0478433,121.64473265
24,Shānyáng Zhèn,30.7637853,121.35179
25,Sìpínglù,,
26,Zhònggù Zhèn,,
27,Āntíng Zhèn,31.29036385,121.157514761111
28,Zhōujiādù,31.18714625,121.4892365
29,Zhùqiáo Zhèn,31.4111758,121.1803074
30,Lùjiāzuǐ,31.24016825,121.497944636019
31,Xīnqiáo Zhèn,31.0613055,121.319618686872
32,Zhèlín Zhèn,30.832309,121.4690275
33,Sìtuán Zhèn,30.9410655,121.7187095
34,Dàchǎng Zhèn,31.2941441,121.4123961
35,Qidong Nongchang,,
36,Hǎiwān Zhèn,30.8629432,121.5632449
37,Xiānxiá Xīncūn,,
38,Nánxiáng Zhèn,31.3004751,121.3140202
39,Cáolù Zhèn,31.273409,121.6784911
40,Fāngsōng,31.0356011,121.1926503
41,Hùdōng Xīncūn,,
42,Huájīng Zhèn,31.119845,121.4512946
43,Zhōngshān,31.0384758,121.24118
44,Nánhuì Xīnchéng Zhèn,,
45,Jiāngqiáo Zhèn,31.2592039,121.3428336
46,Yǒuyìlù,31.400129,121.4817034
47,Fèngpǔ,31.0081285,121.437454285993
48,Zhuānqiáo Zhèn,31.0709557,121.3948347
49,Zhāngyàn Zhèn,30.80545,121.2847603
50,Pǔxìnglù,,
51,Wànxiáng Zhèn,30.9752011,121.8114256
52,Hángtóu Zhèn,31.035378,121.5830009
53,Shíquánlù,,
54,Xīnjiāngwānchéng,31.3307804,121.5023484
55,Liángchéng Xīncūn,,
56,Yèxiè Zhèn,30.9422774,121.325301482644
57,Zhōupǔ Zhèn,31.1162134,121.5707698
58,Luōdiàn Zhèn,31.4175444,121.341729
59,Níchéng Zhèn,30.9064963,121.8262561
60,Nánjīng Dōnglù,,
61,Jīnqiáo Jīngjì Jìshù Kāifāqū,,
62,Dànínglù,,
63,Gāoqiáo Zhèn,31.3437506,121.5712201
64,Jiādìng Gōngyèqū,,
65,Wàigāng Zhèn,,
66,Jiādìngzhèn,,
67,Gònghéxīnlù,,
68,Shūyuàn Zhèn,30.96157755,121.846355
69,Bànsōngyuánlù,,
70,Gùcūn Zhèn,31.3511338,121.4020632
71,Jiǔlǐtíng,31.1434576,121.3065846
72,Tángqiáo,31.21163615,121.5143028
73,Cáojīng Zhèn,30.7963284,121.4061818
74,Chēdūn Zhèn,31.0072946,121.316357359624
75,Cáohéjīng,31.1662111,121.4286293
76,Dōnghǎi Nóngchǎng,,
77,Huāmù,31.2085465,121.5435573
78,Kāngqiáo Zhèn,31.1577762,121.6144468
79,Jīnshānwèi Zhèn,30.7309537,121.3587873
80,Xiǎokūnshān Zhèn,31.0391478,121.1331801
81,Xīnjīng Zhèn,31.2189287,121.357434885285
82,Sōngnán Zhèn,31.3494982,121.4855714
83,Ruìjīn Èrlù,,
