,Neighborhood,Latitude,Longitude
1,Kampong Bugis,1.3085297,103.8658712
2,Benoi Sector,1.3195819,103.680792
3,Bidadari,1.3352618,103.87216677548
4,Bukit Timah,1.3546901,103.7763724
5,Pioneer,1.3416092,103.697477906439
6,Queenstown,1.2946235,103.8060454
7,Teban Gardens,1.32089305,103.737934212712
8,Lim Chu Kang,1.4342172,103.7149872
9,Kallang Bahru,1.319309,103.8659933
10,Pioneer Sector,1.3416092,103.697477906439
11,Semakau,1.20358545,103.769847592456
12,Little India,1.3066476,103.8492691
13,Rochor Canal,1.3038431,103.8528609
14,Bukit Merah,1.2806275,103.8305915
15,Singapore River,1.28917835,103.84515431766
16,Clarke Quay,1.28818655,103.846395554442
17,Yishun,1.4293839,103.8350282
18,Jurong West Central,1.3396365,103.7073387
19,Boon Lay Place,1.3475171,103.713879916657
20,Marine Parade,1.3026889,103.9073952
21,Jurong River,1.344581,103.7281439
22,Rochor,1.30326565,103.852426096399
23,Bishan,1.3514521,103.8482496
24,Jurong Island,1.2596166,103.670471298337
25,Serangoon North,1.3713383,103.8727563
26,Boon Keng,1.31956905,103.861748677728
27,Pearl's Hill,1.28489795,103.839828397855
28,Clifford Pier,1.28394665,103.853537790268
29,Kranji,1.4252189,103.7619891
30,Alexandra North,1.277477,103.8018803
31,Marina Centre,1.2904753,103.8520359
32,MacPherson,1.32620695,103.889506953939
33,Henderson Hill,1.28115755,103.821060782732
34,Bukit Batok,1.3490572,103.7495906
35,Jurong Port,1.30562985,103.72125142874
36,Sungei Kadut,1.4149971,103.7533106
37,Southern Islands,1.2710889,103.86328
38,Commonwealth,1.3024428,103.7983085
39,Yunnan,1.33828165,103.691098307116
40,Kallang,1.310759,103.866262
41,Straits View,1.2782163,103.8525322
42,Ghim Moh,1.311558,103.788797
43,Tanjong Pagar,1.2765707,103.845848
44,Farrer Park,1.31259105,103.854228847827
45,Robertson Quay,1.29040905,103.83812675642
46,Simpang,1.4452954,103.8497425
47,Gombak,1.360768,103.7495341
48,Singapore Polytechnic,1.30913695,103.778143658071
49,Potong Pasir,1.3314141,103.869138082237
50,Kampong Java,1.313975,103.845481
51,Bras Basah,1.2968214,103.850665833196
52,Orchard,1.305272,103.8328757
53,Seletar Aerospace Park,1.4163503,103.8724617
54,Choa Chu Kang,1.3892601,103.743728
55,Safti,1.3304504,103.6834422
56,Rivervale,1.38062345,103.898400807354
57,Sudong,1.2080635,103.719488623156
58,Sengkang,1.3909487,103.8951748
59,Serangoon,1.363236,103.8744617
