,Neighborhood,Latitude,Longitude
0,Parkwoods,43.7587999,-79.3201966
1,Victoria Village,43.732658,-79.3111892
2,Harbourfront,43.6400801,-79.3801495
3,Lawrence Heights,43.7227784,-79.4509332
4,Lawrence Manor,43.7220788,-79.4375067
5,Queen's Park,43.6606092,-79.3905725
6,Rouge,43.8049304,-79.1658374
7,Malvern,43.8091955,-79.2217008
8,Don Mills North,43.775347,-79.3459439
9,Woodbine Gardens,43.7120785,-79.3025673
10,Parkview Hill,43.7062977,-79.3219073
11,Ryerson,43.65846945,-79.3789932724589
12,Garden District,43.6564995,-79.3771141
13,Glencairn,43.7087117,-79.4406853
14,Cloverdale,43.633637,-79.5497447
15,Islington,43.6453376,-79.52487
16,Martin Grove,43.6449033,-79.3818364
17,Princess Gardens,43.6404664,-79.3912237
18,West Deane Park,43.6631995,-79.5685684
19,Highland Creek,43.7901172,-79.1733344
20,Rouge Hill,43.7802711,-79.1304992
21,Port Union,43.7755039,-79.1349765
22,Flemingdon Park,43.7184315,-79.333204
23,Don Mills South,43.775347,-79.3459439
24,Woodbine Heights,43.6999302,-79.3191316
25,St. James Town,43.6694032,-79.3727041
26,Bloordale Gardens,43.6353169,-79.5636744
27,Eringate,43.6622732,-79.5765162
28,Markland Wood,43.63123795,-79.5854368166265
29,Old Burnhamthorpe,43.6393732,-79.5843869
30,Guildwood,43.7552251,-79.1982293
31,Morningside,43.7826012,-79.2049579
32,West Hill,43.7689144,-79.1872905
33,The Beaches,43.6710244,-79.296712
34,Berczy Park,43.64798435,-79.3753959113886
35,Woburn,43.7598243,-79.2252908
36,Leaside,43.7047983,-79.3680904
37,Central Bay Street,43.660912,-79.3858973
38,Christie,43.6641106,-79.4184051
39,Cedarbrae,43.75646655,-79.226692442588
40,Hillcrest Village,43.7996637,-79.3650189
41,Bathurst Manor,43.76389295,-79.4563669371095
42,Downsview North,43.7492988,-79.462248
43,Wilson Heights,43.7405195,-79.4400172
44,Thorncliffe Park,43.704553,-79.3454074
45,Adelaide,43.6508092,-79.3779166084407
46,King,43.6489494,-79.3777538
47,Richmond,43.8125891,-79.2633703893962
48,Dovercourt Village,43.6653069,-79.4326362
49,Dufferin,43.6602019,-79.4357191
50,Scarborough Village,43.7437422,-79.2116324
51,Fairview,43.653963,-79.387207
52,Henry Farm,43.7695089,-79.354296
53,Oriole,43.765498,-79.3642688
54,Northwood Park,43.7541351,-79.50448
55,York University,43.7738011,-79.4998204470133
56,East Toronto,43.626243,-79.396962
57,Harbourfront East,43.6400801,-79.3801495
58,Toronto Islands,43.6161962,-79.3693582
59,Union Station,43.6446934,-79.3801320058597
60,Little Portugal,43.64741325,-79.4311163254605
61,Trinity,43.6537966,-79.3824316857722
62,East Birchmount Park,43.7141672,-79.271109
63,Ionview,43.7359904,-79.2765146
64,Kennedy Park,43.724878,-79.2539688
65,Bayview Village,43.7691966,-79.3766617
66,Downsview East,43.7492988,-79.462248
67,The Danforth West,43.6864333,-79.3003555
68,Riverdale,43.6654704,-79.3525936
69,Design Exchange,43.6477412,-79.3801145
70,Toronto Dominion Centre,43.64736955,-79.3813733580709
71,Brockton,43.6509173,-79.4400216
72,Exhibition Place,43.63381345,-79.417140724094
73,Parkdale Village,43.6404954,-79.4368965
74,Clairlea,43.7088231,-79.2959856
75,Golden Mile,43.7278414,-79.2876217
76,Oakridge,43.6971738,-79.2748232
77,Silver Hills,43.7612224,-79.3683818
78,York Mills,43.7440391,-79.406657
79,Downsview West,43.7492988,-79.462248
80,The Beaches West,43.6710244,-79.296712
81,India Bazaar,43.6722231,-79.3235032
82,Commerce Court,43.64809515,-79.3790207204735
83,Victoria Hotel,43.66946915,-79.37326825
84,Downsview,43.7492988,-79.462248
85,North Park,43.7186899,-79.4775337
86,Upwood Park,43.7089606,-79.5008945986058
87,Humber Summit,43.7600778,-79.5717598
88,Cliffcrest,43.7219387,-79.2362324
89,Cliffside,43.7111699,-79.2481769
90,Scarborough Village West,43.7437422,-79.2116324
91,Newtonbrook,43.7938863,-79.4256790230105
92,Willowdale,43.7615095,-79.4109234
93,Downsview Central,43.7492988,-79.462248
94,Studio District,43.6492881,-79.3767903
95,Bedford Park,43.7373876,-79.4109253
96,Lawrence Manor East,43.7220788,-79.4375067
97,Keelesdale,43.6901578,-79.4749985
98,Mount Dennis,43.6869597,-79.4895513
99,Silverthorn,43.682123,-79.4715724
100,Emery,43.7520744,-79.5423657
101,Humberlea,43.7213166,-79.5331605
102,Birch Cliff,43.70211215,-79.2600905301568
103,Cliffside West,43.7111699,-79.2481769
104,Willowdale South,43.7615095,-79.4109234
105,Downsview Northwest,43.7492988,-79.462248
106,Lawrence Park,43.729199,-79.4032525
107,Roselawn,43.7098517,-79.4042948
108,The Junction North,43.6654775,-79.470352
109,Runnymede,43.6517026,-79.4759978
110,Weston,43.7001608,-79.5162474
111,Dorset Park,43.7528467,-79.282067
112,Scarborough Town Centre,43.7761341,-79.2584376359217
113,Wexford Heights,43.7432421,-79.304641
114,York Mills West,43.7440391,-79.406657
115,Davisville North,43.7043123,-79.3885169
116,Forest Hill North,43.6935586,-79.4139023
117,Forest Hill West,43.701028,-79.4255998
118,High Park,43.6538668,-79.4668644
119,The Junction South,43.6654775,-79.470352
120,Westmount,43.6936399,-79.5210426
121,Maryvale,43.7590508,-79.3102297
122,Wexford,43.7453767,-79.2947155
123,Willowdale West,43.7615095,-79.4109234
124,North Toronto West,43.6465466,-79.4195263
125,The Annex,43.6703377,-79.407117
126,North Midtown,43.7051999,-79.3974155214733
127,Yorkville,43.6713861,-79.3901677
128,Parkdale,43.6404954,-79.4368965
129,Roncesvalles,43.6514426,-79.4510381
130,Kingsview Village,43.6995391,-79.5563459
131,Martin Grove Gardens,43.6873105,-79.561967
132,Richview Gardens,43.6848335,-79.5482883
133,St. Phillips,43.7000483,-79.5437651
134,Agincourt,43.7853531,-79.2785494
135,Davisville,43.7043123,-79.3885169
136,Harbord,43.66151215,-79.4143913350399
137,University of Toronto,43.663462,-79.3977596533745
138,Swansea,43.64494,-79.478313
139,Clarks Corners,43.7964095,-79.2977951
140,Sullivan,43.7726802,-79.3159449
141,Tam O'Shanter,43.7810454,-79.2980941
142,Moore Park,43.6903876,-79.3832965
143,Summerhill East,43.6816776,-79.3905037
144,Chinatown,43.6529237,-79.3980316
145,Grange Park,43.6521966,-79.3923192175799
146,Kensington Market,43.6552136,-79.4022604
147,Agincourt North,43.8080383,-79.2664391
148,L'Amoreaux East,43.799003,-79.3059669
149,Milliken,43.8231743,-79.3017626
150,Steeles East,43.8161778,-79.3145378
151,Deer Park,43.68809,-79.3940935
152,Forest Hill SE,43.6935586,-79.4139023
153,Rathnelly,43.6774724,-79.4004598
154,South Hill,43.6779261,-79.4057671
155,Summerhill West,43.6816776,-79.3905037
156,CN Tower,43.6425637,-79.3870871832047
157,Bathurst Quay,43.6357905,-79.398329
158,Island airport,43.62805705,-79.3979911558998
159,Harbourfront West,43.6400801,-79.3801495
160,King and Spadina,43.6454561,-79.3949942
161,South Niagara,43.6446702,-79.4091943
162,Mimico South,43.6166773,-79.4968048
163,New Toronto,43.6007625,-79.505264
164,Albion Gardens,43.7416654,-79.5845433686249
165,Humbergate,43.72852965,-79.6062403094193
166,Jamestown,43.653963,-79.387207
167,Mount Olive,43.653963,-79.387207
168,Silverstone,43.7497509,-79.5991159310942
169,South Steeles,43.8161778,-79.3145378
170,Thistletown,43.7372656,-79.5653169
171,L'Amoreaux West,43.799003,-79.3059669
172,Rosedale,43.6783556,-79.3807457
173,Alderwood,43.6017173,-79.5452325
174,Long Branch,43.59200455,-79.5453645065959
175,Northwest,43.6465466,-79.4195263
176,Upper Rouge,43.8049304,-79.1658374
177,Cabbagetown,43.6644734,-79.3669861
178,First Canadian Place,43.6487681,-79.3816917928303
179,Underground city,43.7701454,-79.3748625
180,The Kingsway,43.6473811,-79.5113328
181,Montgomery Road,43.6482529,-79.5173629
182,Old Mill North,43.649826,-79.4943338
183,Church and Wellesley,43.6655242,-79.3838011
184,Humber Bay,43.6400463,-79.495028
185,King's Mill Park,43.6510895,-79.4920291
186,Kingsway Park South East,43.6503517,-79.5000088
187,Mimico NE,43.6166773,-79.4968048
188,Old Mill South,43.649826,-79.4943338
189,The Queensway East,43.6093093,-79.5677317
190,Royal York South East,43.6481827,-79.5112961
191,Sunnylea,43.64159705,-79.5016649732138
192,Kingsway Park South West,43.6503517,-79.5000088
193,Mimico NW,43.6166773,-79.4968048
194,The Queensway West,43.6236182,-79.5147637
195,Royal York South West,43.6481827,-79.5112961
196,South of Bloor,43.66766165,-79.3946979735188
