,Neighborhood,City,Latitude,Longitude
0,Yuqiao,Beijing,39.8988199,116.6708138
1,Shigezhuang,Beijing,39.931943200000006,116.55767970000001
2,Beitaipingzhuang,Beijing,39.973639500000004,116.36384440000002
3,Yongdingmenwai,Beijing,39.866794299999995,116.392354534124
4,Jinding Avenue,Beijing,39.93497670000001,116.3890064
5,Guangming,Beijing,39.883203,116.43819270000002
6,Xinhua,Beijing,39.9063193,116.379708174536
7,Xincun,Beijing,39.87639205,116.616602798726
8,Andingmen,Beijing,39.94822815,116.401322017236
9,Xiluoyuan,Beijing,39.8545374,116.379580660933
10,Jingshan,Beijing,39.92429445,116.390466887949
11,Binhe,Beijing,39.76703320000001,116.318778962457
12,Chaowai,Beijing,39.9255761,116.436194
13,Sanlitun,Beijing,39.9361049,116.4488126
14,Chengguan,Beijing,39.9981954,116.2748075
15,Dongsi,Beijing,39.92905379999999,116.41499650000002
16,Fengtai,Beijing,39.8571176,116.2804172
17,Xueyuan Road,Beijing,39.9811552,116.3475152
18,Xisanqi,Beijing,40.056784,116.31714009999999
19,Zuojiazhuang,Beijing,39.9534253,116.4334455
20,Shichahai,Beijing,39.9359528,116.39006470000001
21,Taoranting,Beijing,39.8774533,116.36809280000001
22,Guoyuan,Beijing,39.8487896,116.3976058
23,Haidian,Beijing,39.9580718,116.292405
24,Longshan,Beijing,40.31206295,116.619931328655
25,Shuangjing,Beijing,39.8920933,116.4552314
26,Huayuan Road,Beijing,39.9691776,116.3594087
27,Taipingqiao,Beijing,39.9171914,116.35852290000001
28,Malianwa,Beijing,40.0315401,116.2658838
29,Beixinqiao,Beijing,39.939383500000005,116.41087009999998
30,Xiaoguan,Beijing,39.9141622,116.4105446
31,Qinghe,Beijing,40.0399526,116.3089629
32,Xingfeng,Beijing,39.7440726,116.3331755
33,Datun,Beijing,40.5617365,117.0421811
34,Nanyuan,Beijing,39.7933065,116.3732966
35,Tiancun Road,Beijing,39.930052,116.23959409999999
36,Dayu,Beijing,40.3974221,117.04820079999999
37,Anzhen,Beijing,39.968379799999994,116.40038432461901
38,Dongzhimen,Beijing,39.94156575,116.42856632052201
39,Niujie,Beijing,39.88437225,116.35841418755301
40,Bajiao,Beijing,39.91548770000001,116.20084579999998
41,Shiyuan,Beijing,39.843960100000004,116.69037990000001
42,Dongfeng,Beijing,39.9450024,116.49375659999998
43,Tiantan,Beijing,39.87986825,116.40294984511002
44,Donghuashi,Beijing,39.8962061,116.42770279999999
45,Qingyuan,Beijing,39.73417565,116.297864386902
46,Yuetan,Beijing,39.9126362,116.3372956
47,Xiangheyuan,Beijing,39.952672,116.4419518
48,Liulitun,Beijing,39.9269016,116.48043700000001
49,Heping Avenue,Beijing,39.330092799999996,115.8186139
50,Pingguoyuan,Beijing,39.9248412,116.1719439
51,Lugouqiao,Beijing,39.8636968,116.30306759999999
52,Tiangongyuan,Beijing,39.6687841,116.3138995
53,Shuguang,Beijing,39.9672013,116.44716969999999
54,Huoying,Beijing,40.070440999999995,116.3539423
55,Fatou,Beijing,39.859574,116.5057156
56,Xiangshan,Beijing,39.9929148,116.1979479
57,You'anmen,Beijing,39.86136870000001,116.359426907358
58,Linxiao Road,Beijing,39.7121979,116.3278513
59,Financial Street,Beijing,39.9160815,116.35311589999999
60,Tiantongyuannan,Beijing,40.0651231,116.4065063
61,Lugu,Beijing,39.9006727,116.2051255
62,Jiaodaokou,Beijing,39.9342715,116.40249299999999
63,Qianmen,Beijing,39.8987591,116.3916409
64,Tuanjiehu,Beijing,39.932201299999996,116.45560659999998
65,Donghuamen,Beijing,39.913812,116.395197583658
66,Qinghuayuan,Beijing,39.9811384,116.33316289999999
67,Wanshou Road,Beijing,39.9116662,116.2890817
68,Jianwai,Beijing,39.90363189999999,116.44774296721901
69,Wangjing,Beijing,39.991863200000004,116.4600088
70,Shangdi,Beijing,40.0317646,116.31408429999999
71,Zizhuyuan,Beijing,39.941129700000005,116.31231685903799
72,Chengnan,Beijing,40.29903035,116.637321425681
73,Zhanlan Road,Beijing,39.9208534,116.3385615
74,Longtan,Beijing,40.2632549,116.07563600000002
75,Xinjiekou,Beijing,39.9394726,116.36135759999999
76,Yayuncun,Beijing,39.9924549,116.40036909999999
77,Maizidian,Beijing,39.94989520000001,116.46224740000001
78,Dahongmen,Beijing,39.844012899999996,116.3922626
79,Gucheng,Beijing,39.90614229999999,116.1844475
80,Majiapu,Beijing,39.8516387,116.36509299999999
81,Chaoyangmen,Beijing,39.924997399999995,116.42887900000001
82,Huilongguan,Beijing,40.069480799999994,116.3298907
83,Chengzi,Beijing,40.5801055,117.1289452
84,Ganjiakou,Beijing,39.921679100000006,116.3288857
85,Guang'anmennei,Beijing,39.8885681,116.351727
86,Xilu,Beijing,39.918324299999995,116.4633936
87,Guang'anmenwai,Beijing,39.8886979,116.3224337
88,Xingcheng,Beijing,39.712232799999995,116.05513549999999
89,Yangfangdian,Beijing,39.8960467,116.314986
90,Panjiayuan,Beijing,40.330303,116.6283762
91,Babaoshan,Beijing,39.90623529999999,116.2296298
92,Laoshan,Beijing,39.91277695,116.20739035160801
93,Balizhuang,Beijing,39.9229425,116.2917298
