,Neighborhood,City,Latitude,Longitude,Venue,Venue Category,Category,Address
0,Sanlitun,Beijing,39.9361049,116.4488126,The Opposite House (瑜舍),Hotel,Travel & Transport,"('Sanlitun', 'Beijing')"
1,Sanlitun,Beijing,39.9361049,116.4488126,Page One (叶壹堂),Bookstore,Shop & Service,"('Sanlitun', 'Beijing')"
2,Sanlitun,Beijing,39.9361049,116.4488126,Nali Patio (那里花园),Shopping Mall,Shop & Service,"('Sanlitun', 'Beijing')"
3,Sanlitun,Beijing,39.9361049,116.4488126,The Black Moth,Cocktail Bar,Nightlife Spot,"('Sanlitun', 'Beijing')"
4,Sanlitun,Beijing,39.9361049,116.4488126,Bottega,Italian Restaurant,Food,"('Sanlitun', 'Beijing')"
5,Sanlitun,Beijing,39.9361049,116.4488126,El Barrio,Mexican Restaurant,Food,"('Sanlitun', 'Beijing')"
6,Sanlitun,Beijing,39.9361049,116.4488126,Taikoo Li Sanlitun North (三里屯太古里北区),Shopping Plaza,Shop & Service,"('Sanlitun', 'Beijing')"
7,Sanlitun,Beijing,39.9361049,116.4488126,Lily Nails,Nail Salon,Shop & Service,"('Sanlitun', 'Beijing')"
8,Sanlitun,Beijing,39.9361049,116.4488126,Mosto,South American Restaurant,Food,"('Sanlitun', 'Beijing')"
9,Sanlitun,Beijing,39.9361049,116.4488126,北27号 N27th,Shanxi Restaurant,Food,"('Sanlitun', 'Beijing')"
10,Sanlitun,Beijing,39.9361049,116.4488126,Nespresso Boutique (奈斯派索咖啡精品店),Coffee Shop,Food,"('Sanlitun', 'Beijing')"
11,Sanlitun,Beijing,39.9361049,116.4488126,La Social,Arepa Restaurant,Food,"('Sanlitun', 'Beijing')"
12,Sanlitun,Beijing,39.9361049,116.4488126,Jing Yaa Tang (京雅堂),Peking Duck Restaurant,Food,"('Sanlitun', 'Beijing')"
13,Sanlitun,Beijing,39.9361049,116.4488126,MOKA Bros,Café,Food,"('Sanlitun', 'Beijing')"
14,Sanlitun,Beijing,39.9361049,116.4488126,Carmen Tapas Spanish Bar (卡门西班牙餐厅),Tapas Restaurant,Food,"('Sanlitun', 'Beijing')"
15,Sanlitun,Beijing,39.9361049,116.4488126,Agua,Spanish Restaurant,Food,"('Sanlitun', 'Beijing')"
16,Sanlitun,Beijing,39.9361049,116.4488126,Softree,Ice Cream Shop,Food,"('Sanlitun', 'Beijing')"
17,Sanlitun,Beijing,39.9361049,116.4488126,Haru Teppanyaki & Sushi,Japanese Restaurant,Food,"('Sanlitun', 'Beijing')"
18,Sanlitun,Beijing,39.9361049,116.4488126,绿川 Midorikawa,Japanese Restaurant,Food,"('Sanlitun', 'Beijing')"
19,Sanlitun,Beijing,39.9361049,116.4488126,朱迅别墅 Luga's Villa,Italian Restaurant,Food,"('Sanlitun', 'Beijing')"
20,Sanlitun,Beijing,39.9361049,116.4488126,Niajo,Spanish Restaurant,Food,"('Sanlitun', 'Beijing')"
21,Sanlitun,Beijing,39.9361049,116.4488126,Transit (渡金湖),Chinese Restaurant,Food,"('Sanlitun', 'Beijing')"
22,Sanlitun,Beijing,39.9361049,116.4488126,Cacha Cacha,Thai Restaurant,Food,"('Sanlitun', 'Beijing')"
23,Sanlitun,Beijing,39.9361049,116.4488126,Moleskine Café,Department Store,Shop & Service,"('Sanlitun', 'Beijing')"
24,Sanlitun,Beijing,39.9361049,116.4488126,Gelato Stick,Ice Cream Shop,Food,"('Sanlitun', 'Beijing')"
25,Sanlitun,Beijing,39.9361049,116.4488126,Saigon Mama (西贡妈妈),Vietnamese Restaurant,Food,"('Sanlitun', 'Beijing')"
26,Sanlitun,Beijing,39.9361049,116.4488126,Soloist Coffee,Coffee Shop,Food,"('Sanlitun', 'Beijing')"
27,Sanlitun,Beijing,39.9361049,116.4488126,Starbucks (星巴克),Coffee Shop,Food,"('Sanlitun', 'Beijing')"
28,Sanlitun,Beijing,39.9361049,116.4488126,Let's Burger Plus,Burger Joint,Food,"('Sanlitun', 'Beijing')"
