,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,A Kung Ngam,History Museum,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
1,Aberdeen,Bus Station,Sushi Restaurant,Fast Food Restaurant,Bubble Tea Shop,Cha Chaan Teng,Supermarket,Athletics & Sports,Shopping Mall,Chinese Restaurant,Coffee Shop
2,Adelaide,Hotel,Italian Restaurant,Coffee Shop,Gastropub,Gym,Japanese Restaurant,Café,Restaurant,Hostel,Pizza Place
3,Admiralty,Café,Hotel,Cantonese Restaurant,Tea Room,Steakhouse,Hotel Bar,French Restaurant,Supermarket,Dessert Shop,Food Court
4,Agariyashiki,Event Space,Park,Garden,Convenience Store,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
5,Agincourt,Chinese Restaurant,Asian Restaurant,Food Court,Shopping Mall,Coffee Shop,Vietnamese Restaurant,Peking Duck Restaurant,Rental Car Location,Event Space,Exhibit
6,Agincourt North,Japanese Restaurant,Fried Chicken Joint,Chinese Restaurant,Clothing Store,Pizza Place,Wings Joint,Dim Sum Restaurant,Ice Cream Shop,Fast Food Restaurant,Convenience Store
7,Akasaka,Chinese Restaurant,Coffee Shop,Italian Restaurant,Café,French Restaurant,Japanese Restaurant,Asian Restaurant,Spanish Restaurant,Soba Restaurant,BBQ Joint
8,Akihabara,Hobby Shop,Electronics Store,Café,Arcade,Ramen Restaurant,Video Game Store,Toy / Game Store,Donburi Restaurant,Rock Club,Comic Shop
9,Albion Gardens,Japanese Restaurant,Grocery Store,Pharmacy,Beer Store,Fast Food Restaurant,Pizza Place,Caribbean Restaurant,Hardware Store,Fried Chicken Joint,Field
10,Albisrieden,Swiss Restaurant,Supermarket,Café,Tram Station,Restaurant,Bus Station,Grocery Store,Bakery,Filipino Restaurant,Field
11,Alderwood,Coffee Shop,Pizza Place,Skating Rink,Pool,Pharmacy,Pub,Zoo Exhibit,Festival,Fast Food Restaurant,Farmers Market
12,Aldrich Bay,Chinese Restaurant,Cantonese Restaurant,French Restaurant,Hong Kong Restaurant,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
13,Alexandra North,Breakfast Spot,Café,French Restaurant,Garden,Deli / Bodega,Tech Startup,Art Gallery,Wine Bar,Ice Cream Shop,Financial or Legal Service
14,Aljunied,Vegetarian / Vegan Restaurant,Kitchen Supply Store,Japanese Restaurant,Steakhouse,African Restaurant,Martial Arts Dojo,Train Station,Dim Sum Restaurant,Seafood Restaurant,Café
15,Allerton,Pizza Place,Chinese Restaurant,Supermarket,Donut Shop,Pharmacy,Gas Station,Discount Store,Market,Deli / Bodega,Martial Arts Dojo
16,Alt-Wiedikon,Burrito Place,Antique Shop,Bar,Dog Run,Restaurant,Frozen Yogurt Shop,Fishing Spot,Fabric Shop,Factory,Falafel Restaurant
