,Neighborhood,City,Cluster Labels,Arts & Entertainment,Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport,Latitude,Longitude
0,Aberdeen,Hong Kong,1,0.0,0.6666666666666666,0.0,0.09523809523809523,0.09523809523809523,0.14285714285714285,22.2487691,114.155954
1,Adelaide,Toronto,1,0.025,0.65,0.025,0.05,0.1,0.15,43.6508092,-79.3779166084407
2,Admiralty,Hong Kong,1,0.023809523809523808,0.6190476190476191,0.07142857142857142,0.047619047619047616,0.14285714285714285,0.09523809523809523,22.2789208,114.1644982
3,Agincourt,Toronto,4,0.0,0.9166666666666666,0.0,0.0,0.0,0.08333333333333333,43.7853531,-79.2785494
4,Agincourt North,Toronto,10,0.0,0.8,0.0,0.0,0.2,0.0,43.8080383,-79.2664391
5,Akasaka,Tokyo,7,0.05555555555555555,0.7962962962962963,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.037037037037037035,35.6716786,139.7356224
6,Akihabara,Tokyo,3,0.12121212121212123,0.3838383838383838,0.040404040404040414,0.010101010101010102,0.42424242424242425,0.020202020202020204,35.6997364,139.7712503
7,Albion Gardens,Toronto,3,0.0,0.4545454545454545,0.0,0.0,0.5454545454545454,0.0,43.7416654,-79.5845433686249
8,Aljunied,Singapore,7,0.0,0.7692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.3164515,103.8829087
9,Allerton,New York City,2,0.0,0.5,0.0,0.07142857142857142,0.42857142857142855,0.0,40.86578787802982,-73.85931863221647
10,Altstadt,Frankfurt,12,0.14583333333333334,0.5208333333333334,0.10416666666666667,0.10416666666666667,0.125,0.0,50.11104545,8.682935726985411
11,Altstetten,Zurich,9,0.0,0.5882352941176471,0.0,0.05882352941176471,0.29411764705882354,0.05882352941176471,47.3874029,8.4860612
12,Amoy Gardens,Hong Kong,10,0.0,0.7894736842105263,0.0,0.0,0.15789473684210525,0.05263157894736842,22.3246268,114.21645846705299
13,Ang Mo Kio,Singapore,10,0.04166666666666666,0.7083333333333334,0.0,0.04166666666666666,0.20833333333333331,0.0,1.3700733,103.8495157
14,"Aoyama, Minato",Tokyo,9,0.043478260869565216,0.6521739130434783,0.0,0.043478260869565216,0.2608695652173913,0.0,35.6710729,139.7208385
15,Areas of Tokyo,Tokyo,12,0.19230769230769232,0.38461538461538464,0.0,0.07692307692307693,0.2307692307692308,0.1153846153846154,35.7342795,139.712855176159
16,Asagaya,Tokyo,4,0.0,0.8928571428571429,0.03571428571428571,0.0,0.07142857142857142,0.0,35.7031638,139.6362469
17,Asakusa,Tokyo,1,0.029411764705882356,0.6470588235294118,0.08823529411764706,0.0,0.1176470588235294,0.1176470588235294,35.717528,139.797635
18,Bahnhofsviertel,Frankfurt,7,0.0,0.7192982456140351,0.10526315789473684,0.0,0.08771929824561403,0.08771929824561403,50.10774145,8.66873601221096
