,Neighborhood,Latitude,Longitude
0,Sihlfeld,47.3732177,8.5108195
1,Rathaus,47.3726493,8.5443108
2,Oberstrass,47.3857063,8.5491245
3,Friesenberg,47.3581745,8.4939223
4,Saatlen,47.4126366,8.56591186471631
5,City,47.3729425,8.5353456
7,Fluntern,47.3767769,8.5587745
8,Hottingen,47.3696799,8.5550821
9,Seefeld,47.3577831,8.5510737
10,Wollishofen,47.3424271,8.5307085
11,Gewerbeschule,47.3838176,8.5300864
12,Escher Wyss,47.3908991,8.5153597
13,Altstetten,47.3874029,8.4860612
14,Werd,47.3719907,8.526782
15,Hirslanden,47.3629482,8.5642692
16,Unterstrass,47.3914474,8.5395724
17,Witikon,47.35831,8.590628
18,Weinegg,47.3510582,8.5699096
19,Hirzenbach,47.3996972,8.5885281
20,Oerlikon,47.4104211,8.5445851
21,Hard,47.3817429,8.5125543
22,Alt-Wiedikon,47.3655618,8.5178506
23,Höngg,47.4016604,8.4977145
24,Schwamendingen Mitte,47.4044371,8.5683258
25,Albisrieden,47.3748573,8.4846574
26,Hochschulen,47.3738463,8.5486133
27,Langstrasse,47.3772734,8.5264148
28,Enge,47.3617894,8.528708
29,Lindenhof,47.3729161,8.5401756
30,Leimbach,47.3902536,8.5814062
33,Wipkingen,47.3934951,8.5286022
